"title","name","credit_hours"\
"MDEM 343","MASTERS OF THE BAROQUE ERA","3"\
"MDEM 357","JEWS & CHRISTIANS-MEDIEVAL EUR","3"\
"MDEM 373","CHINESE ART AND THE WORLD","3"\
"MDEM 375","CLASSICAL CHINESE NOVELS","3"\
"MDEM 377","MEDIEVAL MANUSCRIPTS","3"\
"MDEM 434","SEEING SEX IN EUROPEAN ART","3"\
"MDHM 201","INTRO TO MEDICAL HUMANITIES","3"\
"MDHM 359","RESPONSIBLE AI FOR HEALTH","3"\
"MUSI 117","FUNDAMENTALS OF MUSIC I","3"\
"MUSI 125","TOPICS IN MUS THEORY NONMAJORS","3"\
"MUSI 220","SURVEY OF WORLD MUSIC","3"\
"MUSI 221","MUSIC, MAGIC, AND SCIENCE","3"\
"MUSI 222","MEDIEVAL AND RENAISSANCE ERAS","3"\
"MUSI 223","MONSTERS AND BARDS","3"\
"MUSI 225","HISTORY OF ROCK","3"\
"MUSI 240","UNITY AND VARIETY IN MUSIC","3"\
"MUSI 314","MUSIC IN WESTERN CULTURE","3"\
"MUSI 317","THEORY FOR NON MAJORS I","3"\
"MUSI 318","THEORY FOR NON-MAJORS II","3"\
"MUSI 321","BAROQUE & EARLY CLASSICAL ERAS","3"\
"MUSI 322","CLASSICAL AND ROMANTIC ERAS","3"\
"MUSI 326","JAZZ HISTORY AND RACE","3"\
"MUSI 374","ACCESSIBLE SOUNDS","3"\
"MUSI 378","CROSS-CULTURAL ASIAN MUSIC","3"\
"MUSI 421","THE MODERN ERA","3"\
"PHIL 100","INTRODUCTION TO PHILOSOPHY","3"\
"PHIL 125","PHILOSOPHY THROUGH ARTWORKS","3"\
"PHIL 130","THE SCIENCES OF THE MIND","3"\
"PHIL 150","TECHNOLOGY, SOCIETY AND VALUE","3"\
"PHIL 160","MORAL PROBLEMS","3"\
"PHIL 166","ETHICS IN PANDEMICS","3"\
"PHIL 220","PHILOSOPHY OF RELIGION","3"\
"PHIL 230","HUMAN MINDS","3"\
"PHIL 231","ANIMAL MINDS","3"\
"PHIL 265","DEATH AND DYING","3"\
"PHIL 267","PHILOSOPHY OF SEX AND LOVE","3"\
"PHIL 269","MARKETS AND MORALITY","3"\
"PHIL 275","FEMINIST PHILOSOPHY","3"\
"PHIL 281","HISTORY OF PHILOSOPHY I","3"\
"PHIL 283","HIST OF PHILOSOPHY II","3"\
"PHIL 285","EXISTENTIALISM","3"\
"PHIL 289","HISTORY OF CHINESE PHILOSOPHY","3"\
"PHIL 318","PHILOSOPHY OF LANGUAGE","3"\
"PHIL 320","METAPHYSICS","3"\
"PHIL 330","PHILOSOPHY OF MIND","3"\
"PHIL 345","THEORY OF KNOWLEDGE","3"\
"PHIL 350","PHILOSOPHY OF SCIENCE","3"\
"PHIL 353","PHILOSOPHY OF BIOLOGY","3"\
"PHIL 354","THE PHILOSOPHY OF MEDICINE","3"\
"PHIL 360","ETHICS","3"\
"PHIL 362","HISTORY OF ETHICS","3"\
"PHIL 363","MORAL PSYCHOLOGY","3"\
"PHIL 370","SOCIAL & POLITICAL PHILOSOPHY","3"\
"PHIL 372","HIST SOCIAL & POLITICAL PHILOS","3"\
"PHIL 373","PHILOSOPHY OF LAW","3"\
"PHIL 381","ANCIENT PHILOSOPHY","3"\
"PHIL 383","MODERN PHILOSOPHY","3"\
"PHIL 386","CONTINENTAL PHILOSOPHY","3"\
"PHIL 431","ADV TOPICS IN SCI OF THE MIND","3"\
"PJHC 275","NARRATIVES OF AMERICAN POVERTY","3"\
"PJHC 371","POVERTY, JUSTICE, CAPABILITIES","3"\
"PJHC 470","ADVANCED SEMINAR PJHC","3"\
"PLST 315","AUTHORITARIAN CONSTITUTIONS","3"\
"POLI 324","FROM DECOLONI TO GLOBALIZATION","3"\
"PORT 206","ACCEL SECOND YEAR PORTUGUESE","3"\
"PORT 301","THIRD YEAR PORTUGUESE I","3"\
"PORT 302","BRASIL: CULTURE AND SOCIETY","3"\
"PORT 303","BRAZIL: LITERATUREA E CULTURA","3"\
"RELI 101","WHAT IS RELIGION?","3"\
"RELI 104","INTRO TO JEWISH MYSTICISM","3"\
"RELI 108","INTRODUCTION TO JUDAISM","3"\
"RELI 109","RELIGION AND LAW","3"\
"RELI 111","INTRO AFRICAN RELIGIONS","3"\
"RELI 112","INTRO TO EARLY CHRISTIANITY","3"\
"RELI 120","CONTEMPORARY ETHICS &THE BIBLE","3"\
"RELI 122","THE BIBLE AND ITS INTERPRETERS","3"\
"RELI 123","INTRO TO WORLD CHRISTIANITY","3"\
"RELI 124","RELIGION & ART OF HAPPINESS","3"\
"RELI 130","ANTI-SEMITISM AND ISLAMOPHOBIA","3"\
"RELI 142","THE COLORS OF LIFE","3"\
"RELI 157","RELIGION AND HIP HOP","3"\
"RELI 158","LIBERATION THEOLOGIES","3"\
"RELI 203","JUDAISM OF JESUS AND HILLEL","3"\
"RELI 215","MYSTIC CINEMA","3"\
"RELI 216","RELIGION & BLACK LIVES MATTER","3"\
"RELI 219","THE SUPERNATURAL AND RELIGION","3"\
"RELI 221","LIFE OF PROPHET MUHAMMAD","3"\
"RELI 232","RELIGIONS FROM INDIA","3"\
"RELI 233","INTRO TO TIBETAN LANG &  LIT","3"\
"RELI 234","INT TIBETAN LANG LIT & CULTURE","3"\
"RELI 250","RELIGION AND SCIENCE","3"\
"RELI 270","INTRO BLACK CHURCH IN THE US","3"\
"RELI 271","MEDIEVAL POPULAR CHRISTIANITY","3"\
"RELI 282","INTRO TO CHRISTIANITY","3"\
"RELI 301","NIETZSCHE & RELIGIOUS THOUGHT","3"\
"RELI 306","ETHICS OF HIP HOP","3"\
"RELI 311","RELIGION AND HIP HOP","3"\
"RELI 312","MLK AND MALCOLM X","3"\
"RELI 322","INTRODUCTION TO BUDDHISM","3"\
"RELI 328","RELIGION & GLOBAL POVERTY","3"\
"RELI 329","THE BIBLE AS LIVED EXPERIENCE","3"\
"RELI 332","ADV TIBETAN LANGUAGE & CULTURE","3"\
"RELI 334","PSYCHOLOGY OF RELIGION","3"\
"RELI 335","MEDICINE AND THE MUSEUM","3"\
"RELI 336","RELIGION & THE SOCIAL SCIENCES","3"\
"RELI 337","SHAMANS, SAINTS, & SAGES","3"\
"RELI 338","THE CHURCH OF AFRICA","3"\
"RELI 341","AMERICAN JUDAISM","3"\
"RELI 343","SEMINAR ON LOVE","3"\
"RELI 344","END OF LIFE SEMINAR","4"\
"RELI 348","CHRISTIANITY & ISLAM IN AFRICA","3"\
"RELI 357","IS BLACK RELIGION RELIGIOUS?","3"\
"RELI 359","RELIGIOUS TOLERANCE","3"\
"RELI 361","THE HUMANITIES OF CARE","3"\
"RELI 363","JEWISH PHILOSOPHY","3"\
"RELI 371","CHRISTIANITY IN GLOBAL SOUTH","3"\
"RELI 375","EPIPHANIES","3"\
"RELI 378","BUDDHIST ART AND LITERATURE","3"\
"RELI 384","PILGRIMAGE AND CRUSADE","3"\
"RELI 385","GOD, TIME AND HISTORY","3"\
"RELI 388","THE PSALMS","3"\
"RELI 395","LOSING YOUR RELIGION IN FILM","3"\
"RELI 424","RELIGION & POLITICS IN AFRICA","3"\
"RELI 426","RELI AND LITERATURE IN AFRICA","3"\
"RELI 476","FROM DECOLONI TO GLOBALIZATION","3"\
"RUSS 263","SECOND YEAR RUSSIAN I","3"\
"RUSS 264","SECOND YEAR RUSSIAN II","3"\
"RUSS 301","THIRD YEAR RUSSIAN I","3"\
"RUSS 302","THIRD YEAR RUSSIAN II","3"\
"SOCI 316","ENVIRONMENTAL MEDIA","3"\
"SPAN 158","INTRO LATIN AMERICAN STUDIES","3"\
"SPAN 204","SPANISH HERITAGE STUDENTS II","3"\
"SPAN 263","SECOND YEAR SPANISH I","3"\
"SPAN 264","SECOND YEAR SPANISH II","3"\
"SPAN 303","SPANISH HERITAGE STUDENTS III","3"\
"SPAN 321","SPECIAL TOPICS: ADV SPANISH I","3"\
"SPAN 322","SPECIAL TOPICS: ADV SPANISH II","3"\
"SPAN 328","GAZING AT DISASTER","3"\
"SPAN 332","APPROACHES HISPANIC LITERATURE","3"\
"SPAN 333","LATINE HEALTHCARE ISSUES","3"\
"SPAN 347","MEDIEVAL&EARLY SPAN LIT&CULTUR","3"\
"SPAN 350","DIALECTS IN CONTACT","3"\
"SPAN 356","UNDERSTANDING CENTRAL AMERICA","3"\
"SPAN 361","WOMEN & GENDER IN SPAN CULTURE","3"\
"SPAN 382","SOC JUSTICE THEATER OUTREACH","3"\
"SPAN 383","SPANISH CREATIVE WRITING","3"\
"SPAN 384","LIT FROM THE SOUTHERN CONE","3"\
"SPAN 390","HISPANIC CINEMA","3"\
"SPAN 392","TRENDS IN CUBAN CULTURE","3"\
"SPAN 393","COMTEMP SPAN CULTURE & SOCIETY","3"\
"SPAN 402","THE CITY IN LATIN AMERICA","3"\
"SPAN 403","LATIN AMER LIT & ENVIRONMENT","3"\
"SPAN 406","LATIN AMERICAN CINEMA","3"\
"SPAN 456","LATIN AMERICAN WOMEN'S CULTURE","3"\
"SWGS 100","WOMEN, GENDER, AND SEXUALITY","3"\
"SWGS 200","THEORIZING SEXUALITY & GENDER","3"\
"SWGS 273","MEDICINE AND MEDIA","3"\
"SWGS 301","ARTHURIAN LITERATURE","3"\
"SWGS 305","CHAUCER","3"\
"SWGS 338","19TH C. WOMEN'S NARRATIVES","3"\
"SWGS 345","HISTORY OF FEMINISM","3"\
"SWGS 370","AFRICAN AMERICAN LITERATURE","3"\
"SWGS 372","VICTORIAN FICTION","3"\
"SWGS 389","YOUTH STUDIES","3"\
"SWGS 390","HISPANIC CINEMA","3"\
"SWGS 434","SEEING SEX IN EUROPEAN ART","3"\
"SWGS 466","LATIN AMERICAN WOMEN'S CULTURE","3"\
"THEA 102","INTRODUCTION TO ACTING","3"\
"THEA 300","INTRODUCTION TO THEATRE DESIGN","3"\
"THEA 303","INTRODUCTION TO THEATRE","3"\
"THEA 310","THE SPOKEN TEXT","3"\
"THEA 315","INTRO TO THEATRE HISTORY","3"\
"THEA 331","THEATRE PRODUCTION","3 TO 6"\
"TIBT 233","INTRO TO TIBETAN LANG &  LIT","3"\
"TIBT 234","INT TIBETAN LANG LIT & CULTURE","3"\
"TIBT 332","ADV TIBETAN LANGUAGE & CULTURE","3"\
